time,open,high,low,close,fast_stoch,slow_stoch,rsi,30_sent,thirty_trend,4h_sent,four_trend,candle_dir,dt_signal,sent_signal,simple_result,running_result,profit
2020-05-28 13:30:00,132.474,132.511,132.315,132.368,77.62803234501206,67.78726165518428,56.33714110970732,0.014257850812565637,bullish,0.06607114260309907,bullish,short,short,short_trade,loss,no_runner,-0.16300000000001091
2020-05-28 17:30:00,132.791,132.815,132.748,132.766,90.01291082177887,92.35081215137585,66.17924026351398,0.054948039761122516,bullish,0.06796110755491391,bullish,short,short,short_trade,loss,no_runner,-0.06900000000001683
2020-05-28 19:00:00,132.866,132.882,132.602,132.608,83.84987186645589,88.8633152216478,55.187227938225355,0.0495389738748375,bullish,0.06796110755491391,bullish,short,short,short_trade,win,win,0.17
2020-05-28 22:30:00,132.726,132.72799999999998,132.64600000000002,132.656,46.12105711849805,45.63110275290922,55.53809717467576,0.019483554868406874,bullish,0.06295446586020886,bullish,short,short,short_trade,sig_stop,no_runner,-0.02199999999999136
2020-05-28 23:30:00,132.678,132.692,132.596,132.60399999999998,39.64194373401424,45.268542199486255,52.45270021709076,0.013189937843538429,bullish,0.06295446586020886,bullish,short,short,short_trade,win,win,0.17
2020-05-29 02:30:00,132.368,132.41,132.358,132.39600000000002,18.22021018767268,17.027438628013662,43.23921249293771,-0.01912327062516693,bearish,0.05276017200344802,bearish,long,long,long_trade,loss,no_runner,-0.058000000000021146
2020-05-29 05:00:00,132.256,132.336,132.208,132.292,11.357035858792713,14.922366018775357,39.37221439692238,-0.0324134958080535,bearish,0.03216128194567544,bearish,long,long,long_trade,win,loss,0.07
2020-05-29 06:00:00,132.246,132.328,132.18,132.31799999999998,16.83332242093306,13.021293456614606,42.56363142971076,-0.03427362929849162,bearish,0.03216128194567544,bearish,long,long,long_trade,sig_stop,no_runner,-0.01999999999998181
2020-05-29 09:00:00,131.83100000000002,132.06799999999998,131.83,131.954,12.753764561420658,13.153642461296933,33.07100184394825,-0.05543390719801995,bearish,0.030545901766519945,bearish,long,long,long_trade,loss,no_runner,-0.14400000000000546
2020-05-29 10:00:00,131.856,132.033,131.832,132.012,22.848856496116554,15.878991652775676,39.44523504214009,-0.05554694472534934,bearish,0.030545901766519945,bearish,long,long,long_trade,win,win,0.17
2020-05-29 17:30:00,132.798,132.84,132.64,132.766,54.143268442034504,54.90885806087368,56.87001226569502,0.04477005138466239,bullish,0.054929287661432735,bullish,short,short,short_trade,loss,no_runner,-0.09400000000002251
2020-05-29 18:30:00,132.952,132.981,132.642,132.876,52.24429623831534,53.421039512830646,58.78648546476781,0.04581876821320535,bullish,0.054929287661432735,bullish,short,short,short_trade,win,loss,0.07
2020-05-29 20:30:00,133.18200000000002,133.31,133.064,133.165,71.71040364563854,63.79928659826978,64.61189036681914,0.05451569135698929,bullish,0.054929287661432735,bullish,short,short,short_trade,win,win,0.17
2020-06-01 00:30:00,133.524,133.524,133.342,133.36700000000002,74.09914674908296,67.30841123520096,63.57720717307542,0.05010317691734943,bullish,0.054929287661432735,bullish,short,short,short_trade,loss,no_runner,-0.1769999999999925
2020-06-01 02:00:00,133.64600000000002,133.667,133.59799999999998,133.602,95.36869438434928,90.06699290588854,66.9920652574908,0.06433486105327366,bullish,0.0768432237888548,bullish,short,short,short_trade,running_short,win,0.07
2020-06-01 15:00:00,134.264,134.306,134.118,134.135,91.90620661482497,93.61234989121174,69.78746054816654,0.0388947912458204,bullish,0.11283817201834904,bullish,short,short,short_trade,sig_stop,no_runner,-0.006000000000000227
2020-06-01 16:00:00,134.141,134.259,134.089,134.09799999999998,83.66519979725047,88.35423527890332,67.84506237854325,0.043115340701249616,bullish,0.11283817201834904,bullish,short,short,short_trade,running_short,sig_stop,-0.14700000000001978
2020-06-01 19:30:00,134.505,134.536,134.44799999999998,134.468,96.63925576780304,96.39071813810291,74.24891761633248,0.051713967387753856,bullish,0.13404944836991778,bullish,short,short,short_trade,running_short,win,0.07
