time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1542204000,147.532,148.36,146.802,147.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.356,148.048,53.45290385553966,62.554904831624526,45.44600053293187
1542218400,147.161,148.392,146.33,147.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.356,148.048,52.45241581259196,56.34455832113165,50.547767056239145
1542232800,147.6,147.737,147.424,147.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.356,148.048,52.59882869692578,52.83471612168477,49.90661609403649
1542247200,147.544,147.704,147.476,147.704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.356,148.048,59.22401171303128,54.75841874084864,51.78821967538074
1542261600,147.704,147.93,144.907,145.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.356,148.048,40.53236894106461,50.78506978367286,30.783027004426998
1542276000,145.005,145.692,144.572,144.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,22.920110259991663,40.89216363802816,29.462268432784654
1542290400,144.728,145.093,144.439,144.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,2.641084130301813,22.031187777118333,28.419341876315954
1542304800,144.508,145.411,144.264,145.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,8.541346357063526,11.367513582451307,35.77551036543686
1542319200,145.169,145.315,144.904,145.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,14.008595394370156,8.397008627244137,35.39035365921569
1542333600,145.104,145.144,144.876,145.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,19.85454757478071,14.134829775403771,35.127196172955635
1542348000,145.062,145.437,144.821,145.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,19.72933002524476,17.864157664797514,35.41043735585548
1542362400,145.085,145.449,144.924,145.251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,20.981440977646894,20.18843952588976,37.53039614266982
1542376800,145.251,145.326,144.616,144.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,17.95865633074934,19.556475777879303,33.46194622030747
1542391200,144.68,144.844,144.608,144.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,15.705749354005176,18.21528222079944,35.132993744379476
1542578400,144.806,144.932,144.552,144.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,10.917312661498556,14.860572782083329,34.05124220715733
1542592800,144.658,144.73,144.541,144.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,11.613422313570604,12.745494776357083,34.81071961807467
1542607200,144.71,145.32,144.596,144.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,13.91074804298421,12.14716100601676,39.00065423723808
1542621600,144.998,145.234,144.31,144.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,16.966721222040007,14.163630526197243,38.55586431829162
1542636000,144.95,145.076,144.409,144.608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,20.941317061466776,17.272928775495966,35.453375758088114
1542650400,144.608,144.756,144.504,144.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,25.350358060865478,21.086132114789724,36.26089758613798
1542664800,144.658,144.854,144.549,144.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,33.205687338224955,26.499120820184704,38.04714062403713
1542679200,144.765,144.821,144.631,144.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,36.355205852098344,31.63708375039523,37.27955108822886
1542693600,144.692,144.874,144.073,144.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,31.594898554810424,33.71859724837688,33.68990480827884
1542708000,144.334,144.92,144.162,144.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,23.001102558343717,30.31706898841647,33.36135198924339
1542722400,144.3,144.548,144.026,144.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,16.55349273017472,23.716497947775263,32.635523091719705
1542736800,144.228,144.278,144.034,144.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,14.692356773108159,18.082317353874505,32.34084207849426
1542751200,144.2,144.42,144.072,144.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,17.153140293949694,16.132996599076495,35.37089449937882
