time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1594956600,134.776,134.822,134.762,134.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,51.97188626983871,50.48638979181143,55.2622842849544
1594958400,134.791,134.8,134.695,134.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,49.61850984713046,51.147384808137126,52.863651312615104
1594960200,134.764,134.774,134.657,134.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,39.496855345912614,47.02908382095999,47.59065418720132
1594962000,134.7,134.702,134.625,134.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,24.51953630048369,37.87830049784165,44.04238051062582
1594963800,134.652,134.694,134.57,134.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,12.141736454956401,25.386042700450293,40.147244580744825
1594965600,134.594,134.66,134.534,134.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,13.058844038732204,16.573372264723492,42.598048295735445
1594967400,134.62,134.632,134.502,134.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.296,134.961,12.605882366258903,12.602154286648561,37.2307424939109
1594969200,134.535,134.588,134.428,134.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,11.368629454364212,12.344451953117831,32.5082870011922
1594971000,134.444,134.541,134.336,134.396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,7.825259244324934,10.599923688315407,30.323401790535044
1594972800,134.396,134.436,134.303,134.418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,12.402433425159371,10.532107374615563,32.56064936730509
1594974600,134.418,134.631,134.416,134.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,30.61868686868721,16.948793179389895,48.131881286739805
1594976400,134.609,134.644,134.528,134.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,45.13888888889179,29.386669727578845,47.39152152393449
1594978200,134.597,134.62,134.402,134.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,45.52169089741556,40.426422218330906,38.170495385418725
1594980000,134.422,134.48,134.384,134.418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,33.58950779471169,41.41669586033907,37.988551293026795
1594981800,134.418,134.526,134.341,134.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,27.23547450405844,35.44889106539461,42.89829407518438
1594983600,134.485,134.546,134.398,134.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,34.949967097606454,31.924983132124908,45.33323356904561
1594985400,134.52,134.554,134.39,134.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,45.35845459766576,35.847965399776264,45.09655491709816
1594987200,134.516,134.588,134.383,134.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,43.29680936394405,41.201743686404804,39.83344111787691
1594989000,134.422,134.422,134.188,134.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,30.34054369527478,39.66526921896091,31.428878701262803
1594990800,134.222,134.447,134.186,134.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,26.95653782907999,33.53129696276565,42.08767130583653
1594992600,134.384,134.386,134.243,134.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,25.108553524289288,27.468545016214065,38.72626273475593
1594994400,134.3,134.32,134.13,134.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,25.3014573032229,25.788849552196776,34.176925353517504
1594996200,134.17,134.36,134.128,134.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,22.38968496421653,24.266565263908955,41.87036253168188
1594998000,134.306,134.348,134.26,134.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,24.55785801184491,24.08300009309416,41.2593773539105
1594999800,134.29,134.364,134.239,134.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,36.69250645994972,27.88001647866977,44.8353443445943
1595001600,134.356,134.463,134.349,134.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,43.486481376441844,34.91228194941154,47.044645274184255
1595003400,134.398,134.485,134.384,134.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,52.65904625679312,44.279344697727616,47.09896949286622
1595005200,134.399,134.432,134.336,134.376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,55.901378579005154,50.68230207074609,45.931863780211344
1595007000,134.376,134.442,134.371,134.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,56.5942028985524,55.051542578116276,46.796089578393726
1595008800,134.39,134.498,134.387,134.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,61.73913043478405,58.07823730411325,51.56072920564151
1595010600,134.47,134.48,134.404,134.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,63.76811594202979,60.70048309178813,47.7606279807919
1595012400,134.404,134.451,134.388,134.426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,71.62945554249994,65.71223397310398,49.1070982148452
1595014200,134.426,134.482,134.41,134.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,76.57657657657775,70.65804935370187,51.08214853223536
1595016000,134.458,134.478,134.434,134.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,84.95495495495773,77.72032902467784,50.10064862468571
